,Date,X,Headline,Content,sentiment_type,sentiment_score
1,11/11/16,10,Here's Why Hedge Funds Put Few Women on Company Boards,,negative,-0.370728
2,11/11/16,10,Why activist hedge funds almost never nominate women,,negative,-0.378097
3,11/11/16,8,"EU questions U.S. over Yahoo email scanning, amid privacy concerns","[Reuters] - The European Commission has asked the United States about a secret court order Yahoo used to scan thousands of customer emails for possible terrorism links, following concerns that may have violated a new data transfer pact. Under the Privacy Shield agreement that came into force in August, the United States agreed to limit the collection of and access to Europeans' data stored on U.S. servers because of EU concerns about data privacy and mass U.S. surveillance.",negative,-0.713477
4,11/10/16,18,Yahoo took its time investigating massive security breach,[AP] - Yahoo detected evidence that a hacker had broken into its computer network at least 18 months before launching an investigation that discovered personal information had been stolen from about 500 million ...,negative,-0.642713
5,11/10/16,17,"Yahoo's latest filing reveals more details about 2014 hack, possible impact",,negative,-0.391443
6,11/10/16,13,"Is It Time to Follow Aristeia Capital Into Yahoo! Inc. (YHOO), Herbalife Ltd. (HLF), More?",,neutral,-0.391443
7,11/10/16,9,"Yahoo Discloses New Potential Breach (YHOO, VZ)",[at Investopedia] - Yahoo disclosed it is investigating a purported hack of a user's account. Yahoo said law enforcement started sharing information from the hacker Monday.,negative,-0.740778
8,11/10/16,8,Yahoo-Verizon May Seek to Terminate the Stock Purchase Agreement,[24/7 Wall St.] - Buried in the risk factors of the Yahoo third-quarter 10Q is an admission that the Verizon Communications buyout is at risk.,neutral,-0.740778
9,11/10/16,8,Stock Futures Rise as Wall Street Rally Continues After Trump's Win,,positive,0.484882
10,11/10/16,7,5 Things You Must Know Before the Market Opens Thursday,,neutral,0.484882
11,11/10/16,0,Yahoo reveals more details about massive hack,,negative,-0.619819
12,11/9/16,19,Yahoo Says Investigating Claim of New Hack of User Data,"[at Bloomberg] - Yahoo! Inc. is investigating a new claim that user account data was obtained by a hacker, the latest security challenge for the company as it prepares for the planned acquisition of its core web services ...",negative,-0.684842
13,11/9/16,18,[$$] Yahoo admits some staff knew of hacking in 2014,"[at Financial Times] - Yahoo has admitted that at least some staff knew a state-sponsored hacker had accessed its network shortly after an attack took place two years ago, adding to the uncertainty around Verizon's $4.8bn deal ...",neutral,-0.684842
14,11/9/16,18,[$$] Yahoo Investigating If Hacker Has Access to User Accounts,"[at The Wall Street Journal] - Yahoo Inc. is evaluating whether an unidentified hacker has access to its user account data, following a 2014 hack that resulted in the theft of more than 500 million user account records.",neutral,-0.684842
15,11/9/16,16,"YAHOO INC Files SEC form 10-Q, Quarterly Report",,neutral,-0.684842
16,11/9/16,15,Newspaper Front Pages Following The U.S. Election: How Did The World React?,,neutral,-0.684842
17,11/9/16,15,"Symantec (SYMC), Alibaba Group Holding Ltd (BABA): Should You Follow This Hedge Fund Into Its Top Picks?",,neutral,-0.684842
18,11/9/16,14,[$$] Fitzgerald's Take: Yahoo Wins Privacy Fight With Bank Over Emails,[at The Wall Street Journal] - Yahoo Inc. won a big victory in Delaware when a federal judge ruled that bankruptcy courts can‰Ûªt force the internet company to hand over the contents of a private email account.,positive,-0.684842
19,11/9/16,14,Yahoo reveals more details about massive hack,"[AFP] - Yahoo provided more details on Wednesday about an epic hack of its services, including that the culprits may have planted software ""cookies"" for ongoing access to users' accounts. In revelations that could jeopardize the company's pending $4.8 billion acquisition by US telecom giant Verizon, the internet pioneer said it was trying to pin down when it first knew its system had been breached and whether hackers gave themselves a way to get back into accounts whenever they wished. ""Forensic experts are currently investigating certain evidence and activity that indicates an intruder, believed to be the same state-sponsored actor responsible for the security Incident, created cookies that could have enabled such intruder to bypass the need for a password to access certain users' accounts or account information,"" Yahoo said in a filing with the US Securities and Exchange Commission.",negative,-0.619819
20,11/8/16,10,TD Ameritrade's IMX Index Rose 6% In October,,positive,-0.619819
21,11/7/16,16,"Trade Desk Fights For Online Ad Space In Shadow Of Google, Facebook",,positive,-0.619819
22,11/4/16,12,"ETFs with exposure to Yahoo!, Inc. : November 4, 2016",,neutral,-0.619819
23,11/3/16,12,"Yahoo To Surge By 12.5%, Vetr Crowd Says",,positive,-0.41938
24,11/1/16,14,"Women executives left Yahoo in U.S. amid layoffs, deal talk",,negative,-0.72615
25,10/28/16,12,"EU data protection watchdogs warn WhatsApp, Yahoo on privacy",,neutral,-0.72615
26,10/27/16,8,Flurry Analytics Announces Advancements to Yahoo's Mobile Developer Suite,"[at noodls] - Introducing Crash Analytics 2.0 and Revenue Analytics to enable continued growth for developers, worldwide SUNNYVALE, Calif.--(BUSINESS WIRE)-- Flurry Analytics today announced the availability of two ...",positive,0.738414
27,10/27/16,8,Flurry Analytics Announces Advancements to Yahoos Mobile Developer Suite,"[Business Wire] - SUNNYVALE, Calif.--(BUSINESSWIRE)-- Flurry Analytics today announced the availability of two advancements to the Yahoo Mobile Developer Suite, Crash Analytics 2.0 and Revenue Analytics. With the addition of these two features, Flurry Analytics is now the most comprehensive analytics suite available to developers worldwide, at any scale. ""At Flurry, we‰Ûªre focused on creating products that help developers around the world build better apps to successfully grow and scale their businesses,‰Ûù said James Kelm, Senior Director of Product Management at Yahoo.",neutral,0.738414
28,10/26/16,21,Verizon warily staying with deal to buy Yahoo,,negative,-0.730471
29,10/26/16,13,Verizon exec says company needs more information about Yahoo hack,"[Reuters] - Speaking at a tech conference hosted by the Wall Street Journal in Laguna Beach, California, Marni Walden, an executive vice president at Verizon, said on Wednesday Yahoo is investigating the 2014 data breach and that she hopes to resolve any questions related to the incident in 60 days. ‰ÛÏI‰Ûªve got an obligation to make sure that we protect our shareholders and our investors, so we‰Ûªre not going to jump off a cliff blindly,‰Ûù said Walden, who is also Verizon‰Ûªs president of Product Innovation and New Businesses.",negative,-0.710415
30,10/26/16,11,Verizon warily staying with deal to buy Yahoo,"[AFP] - A Verizon executive overseeing the purchase of Yahoo said Wednesday the deal was moving ahead pending the outcome of an investigation into an epic hack. Verizon expected that within 60 days it would have the ""outcome"" of how the massive breach at Yahoo will affect, if at all, the $4.8 billion purchase of the struggling internet pioneer by the US telecom titan. ""We are not going to jump off a cliff blindly, but strategically the deal still does make sense to us,"" Verizon executive vice president of product and new business innovation Marni Walden said at a WSJD Live technology conference in California.",negative,-0.730471
31,10/25/16,16,Yahoo scanning order unlikely to be made public: sources,"[Reuters] - Obama administration officials briefed key congressional staffers last week about a secret court order to Yahoo Inc (YHOO.O) that prompted it to search all users‰Ûª incoming emails for a still undisclosed digital signature, but they remain reluctant to discuss the unusual case with a broader audience. The groups say that Title I of the Foreign Intelligence Surveillance Act, under which sources said the order was issued, requires a finding that the target of such a wiretap is probably an agent of a foreign power and that the facility to be tapped is probably going to be used for a transmission.",negative,-0.432872
32,10/22/16,20,AT strikes $108.7 bn deal to buy Time Warner,,negative,-0.601038
33,10/20/16,12,Verizon revenue drops as subscriber additions disappoint,,negative,-0.639768
34,10/20/16,10,Verizon still digesting Yahoo hack; 3Q profit falls,[AP] - Verizon said its profit fell in its most recent quarter as it added fewer subscribers for its traditional cellphone business. It also said it's still evaluating how the hack at Yahoo affects its $4.8 billion ...,negative,-0.873935
35,10/19/16,16,Yahoo asks gov to clear up email reports,"[AAP] - Yahoo is asking the US government to clear the air regarding reports that it scanned incoming user email for the feds. Earlier this month, Reuters reported that Yahoo searched hundreds of millions of emails for specific information at the government's request, raising concerns about secret government surveillance programs. Yahoo called the Reuters story ""misleading"" and declined to comment on a subsequent New York Times story.",negative,-0.423729
36,10/19/16,16,"Yahoo, ACLU press U.S. to disclose secret surveillance orders","[Reuters] - Yahoo Inc (YHOO.O) on Wednesday asked U.S. Director of National Intelligence James Clapper to declassify a surveillance order the company had received so it can respond to a Reuters report that it set up a special program last year to scan all Yahoo Mail users' incoming messages. Separately, the American Civil Liberties Union filed a motion before the U.S. Foreign Intelligence Surveillance Court asking it to release the Yahoo order and over 20 other significant rulings dating back more than a decade.",negative,-0.38449
37,10/19/16,16,Yahoo asks gov't to clear up email-surveillance reports,,negative,-0.665008
38,10/18/16,21,"Yahoo profit beats Wall Street, some analysts worry over effect of hack","[Reuters] - Yahoo Inc reported better-than-expected quarterly adjusted profit on Tuesday, a boost for the beleaguered company whose deal to sell its core business to Verizon Communications Inc has been shaken by a massive data breach. Verizon's general counsel said last week that the hack, which affected at least 500 million email accounts in 2014, could have a material impact, possibly allowing Verizon to withdraw from the $4.83 billion deal(å£3.92 billion). Tuesday's results provided at least an initial indication that the data breach has not led to a quick exodus of Yahoo customers, as some had feared.",positive,-0.55098
39,10/18/16,20,Yahoo rakes in profits as it prepares for Verizon deal,,positive,-0.55098
40,10/18/16,18,"Yahoo stumbles again in 3Q, raising stakes on Verizon deal","[AP] - Yahoo stumbled through another rough patch in the third quarter, ramping up the pressure on the slumping internet company to complete its $4.8 billion sale to Verizon Communications. The results released ...",negative,-0.788654
41,10/18/16,17,"Yahoo profit beats Wall St, some analysts worry over effect of hack",,positive,-0.550373
42,10/18/16,15,Yahoo quarterly profit more than doubles,,positive,-0.550373
43,10/18/16,15,Yahoo Reports Third Quarter 2016 Results,"[at noodls] - SUNNYVALE, Calif.--(BUSINESS WIRE)-- Yahoo! Inc. (NASDAQ: YHOO) today reported results for the quarter ended September 30, 2016. ... This is an abstract of the original noodl. To continue reading this ...",positive,-0.394266
44,10/18/16,10,Yahoo rakes in profits as it prepares for Verizon deal,"[AFP] - Yahoo's quarterly profits shot up by more than double to $163 million even as it prepares for a takeover by Verizon. The faded internet pioneer skipped its usual quarterly earnings call with analysts due to the pending takeover by the US telecommunication company, for which chief executive Marissa Mayer said Yahoo is busy preparing despite recent revelations about a major data breach that may affect the deal. Shares were up 1.49 percent to $42.30 in after-market trades following the earnings report release, reflecting confidence the breach is not prompting a significant number of users to abandon Yahoo.",positive,-0.394266
45,10/18/16,5,Yahoo quarterly profit more than doubles,"[AFP] - Yahoo beat expectations on Tuesday with quarterly earnings that showed profit more than doubled to $163 million despite only a slight rise in revenue. ""We remain very confident, not only in the value ...",positive,-0.394266
46,10/17/16,1,Premiere entertainment and lifest ...,[at noodls] - Australia's premiere entertainment and lifestyle journalist appointed Head of Be at Yahoo7 Yahoo7 has appointed leading entertainment and lifestyle journalist Lucy Chesterton as Head of Be. As Be continues ...,neutral,-0.394266
47,10/14/16,7,Yahoo Announces Third Quarter 2016 Earnings Release Date,"[at noodls] - SUNNYVALE, Calif.--(BUSINESS WIRE)-- Yahoo! Inc. (NASDAQ:YHOO) will release its financial results for the third quarter ended September 30, 2016, after market close on Tuesday, October 18, 2016. Due to …",positive,-0.394266
48,10/13/16,19,Some Yahoo users find it hard to exit,"[AAP] - As Yahoo's embattled email service suffers through a slew of bad news, including a hack that compromised more than 500 million accounts, some users are finding it hard to leave. ""This is all extremely suspicious timing,'' said Jason Danner, who runs an information technology business in Auckland and is trying to quit Yahoo after 18 years with the email provider. After the AP published its story, the company issued a statement saying Yahoo was working on getting automatic forwarding ``back up and running as soon as possible"".",negative,-0.461134
49,10/13/16,17,"Verizon says Yahoo hack 'material,' could affect deal",,negative,-0.820991
50,10/13/16,15,Verizon says massive Yahoo hack could impact deal,,negative,-0.798837
51,10/5/16,16,Yahoo denies surveillance claims amid privacy outcry,,negative,-0.831318
52,10/5/16,12,"Amid privacy outcry, Yahoo denies surveillance allegations",,negative,-0.874743
53,10/5/16,11,Yahoo email scanning prompts European ire,"[Reuters - UK Focus] - LONDON, Oct (Shenzhen: 000069.SZ - news) 5 (Reuters) - Yahoo (Hanover: YHO.HA - news) 's decision to scan clients' email accounts at the behest of the U.S. authorities has prompted questions in Europe as to whether EU citizens' data had been compromised, and could help derail a new trans-Atlantic (Shanghai: 600558.SS - news) data sharing deal. Reuters reported on Tuesday that Yahoo complied with a classified U.S. government demand to search customers' incoming emails for specific information provided by U.S. intelligence officials. Ireland (Other OTC: IRLD - news) 's Data Protection Commissioner, the lead European regulator on privacy issues for Yahoo, said on Wednesday it was making enquiries about the matter.",neutral,-0.874743
54,10/5/16,9,Irish Data Protection Commissioner examining Yahoo email scanning report,"[Reuters - UK Focus] - DUBLIN, Oct (HKSE: 3366-OL.HK - news) 5 (Reuters) - Ireland (Other OTC: IRLD - news) 's Data Protection Commissioner is examining a report that Yahoo Inc (NasdaqGS: YHOO - news) scanned emails for U.S. intelligence officials and said it would view any infringement of EU citizens' privacy rights as a ""matter of considerable concern"". Reuters reported on Tuesday that Yahoo secretly built a custom software programme to search all of its customers' incoming emails for specific information provided by U.S. intelligence officials, according to people familiar with the matter. ""Arising from media reports, the Office of the Data Protection Commissioner is making enquiries into this matter,"" the lead European regulator on privacy issues for Yahoo - whose European headquarters are in Dublin - said in a statement.",neutral,-0.874743
55,10/5/16,6,Yahoo denies surveillance claims amid privacy outcry,"[AFP] - Yahoo on Wednesday rejected allegations of mass email surveillance amid an outcry from privacy activists over a report that it created a special scanning program at the behest of US intelligence. The report, which said the US internet giant secretly scanned hundreds of millions of email accounts to help American intelligence, was ""misleading,"" Yahoo said. ""We narrowly interpret every government request for user data to minimize disclosure,"" the company said in a statement to AFP.",negative,-0.831318
56,10/5/16,2,"Amid privacy outcry, Yahoo denies surveillance allegations","[AFP] - Yahoo on Wednesday denied conducting mass email surveillance after a report alleging it built a special scanning program at the behest of US intelligence which sparked an outcry from privacy activists. The report, which said the US internet giant had secretly scanned millions of emails to help American intelligence, was ""misleading,"" Yahoo said in a statement. The report Tuesday by Reuters news agency, citing former employees of the internet firm as sources, said Yahoo had built a custom program in 2015 which scanned all its emails to help US intelligence and the FBI.",negative,-0.874743
57,10/5/16,0,Yahoo 'secretly scanned customer emails' for the US government,,neutral,-0.874743
58,10/4/16,23,Yahoo scanned emails for spy agency,"[AAP] - Yahoo Inc last year secretly built a custom software program to search all of its customers' incoming emails for specific information provided by US intelligence officials, according to people familiar with the matter. The company complied with a classified US government directive, scanning hundreds of millions of Yahoo Mail accounts at the behest of the National Security Agency or FBI, said two former employees and a third person apprised of the events. Some surveillance experts said this represents the first case to surface of a US internet company agreeing to a spy agency's demand by searching all arriving messages, as opposed to examining stored messages or scanning a small number of accounts in real time.",neutral,-0.874743
59,10/4/16,21,EXCLUSIVE - Yahoo secretly scanned customer emails for U.S. intelligence: sources,,neutral,-0.874743
60,9/29/16,13,Yahoo hacked by 'professional' criminals: researchers,,negative,-0.806654
61,9/29/16,10,BlackBerry lesson: adapt or die in the internet Age,,negative,-0.725431
62,9/29/16,3,Yahoo hacked by 'professional' criminals: researchers,"[AFP] - The massive theft of Yahoo user data disclosed last week came from ""professional"" hackers seeking to profit from the breach, according to an analysis by security researchers. The analysis published Wednesday by the security firm InfoArmor, which claims to have seen some of the data, contrasts with Yahoo's claim that the attack was likely ""state-sponsored,"" but did suggest that stolen data was sold to a state-sponsored group at one point. ""Yahoo was compromised in 2014 by a group of professional blackhats (hackers) who were hired to compromise customer databases from a variety of different targeted organizations,"" the report said.",negative,-0.806654
63,9/27/16,18,Yahoo accused of 'unacceptable' delay,"[AAP] - A group of Democratic US senators have ordered Yahoo to explain why hackers' theft of user information for half a billion accounts two years ago only came to light last week. ""That means millions of Americans' data may have been compromised for two years,"" the senators wrote in a joint letter addressed to Yahoo Chief Executive Officer Marissa Mayer. Yahoo did not immediately respond to a request for comment about the letter, which was signed by Senators Patrick Leahy, Al Franken, Elizabeth Warren, Richard Blumenthal, Ron Wyden and Edward Markey.",negative,-0.842126
64,9/26/16,7,Yahoo Finance to Host Exclusive Live Stream of Berkshire Hathaway Shareholders Meeting for Second Year,"[at noodls] - May 6 event follows success of first-ever live stream in 2016 SUNNYVALE, Calif.  NEW YORK--(BUSINESS WIRE)-- Yahoo! Inc. (YHOO) today announced that it will host the exclusive live stream of Berkshire ...",positive,-0.842126
65,9/24/16,8,What you need to know about 'state-sponsored' Yahoo cyberattack,,negative,-0.613225
66,9/23/16,15,"Wall Street slumps on weak tech, energy shares",,negative,-0.717184
67,9/23/16,15,Massive hack is yet another blow for ailing Yahoo,,negative,-0.680598
68,9/23/16,13,Yahoo: Eight million UK users affected by data hack,,negative,-0.565135
69,9/20/16,3,Yahoo Messenger rolls out new video sharing feature,,positive,0.501237
70,9/1/16,9,Yahoo unveils new mobile ad format in India,,positive,0.501237
71,7/29/16,2,"Yahoo rolls out upgraded messenger app for Windows, Mac",,positive,0.515804
72,7/27/16,0,"Can Verizon deal revive Yahoo, expand jobs in India?",,neutral,0.515804
73,7/26/16,1,Verizon sale leaves Yahoo investors betting on a stub,,negative,-0.540054
74,7/25/16,20,Verizon to buy Yahoo's core business for $4.8 billion in digital ad push,,neutral,-0.540054
75,7/24/16,12,Verizon to announce $5 billion deal to buy Yahoo Monday - source,,neutral,-0.540054
76,7/21/16,2,Silicon Valley's Yahoo diaspora mourns company's decline,,negative,-0.523192
77,7/18/16,23,Yahoo reports lacklustre results as sale looms,,negative,-0.83133
78,7/7/16,4,"Yahoo Mail announces new updates for iOS, Android",,positive,0.432804
79,6/12/16,23,"Verizon, AT set to make final round of bids for Yahoo web assets, sources say",,neutral,0.432804
80,6/7/16,20,"Yahoo hires investment bank to sell about 3,000 patents - WSJ",,neutral,0.432804
81,5/26/16,19,Exclusive: Verizon turns to former Yahoo bankers for bid - sources,,neutral,0.432804